Timestamp_Shimmer;Skin_Conductance;Skin_Resistance;PPG_A13
8.210.663.146.972.650;16.237.189.059.488.700;6.158.701.462.034.270;2.945.054.945.054.940
8.211.663.208.007.810;16.237.189.059.488.700;6.158.701.462.034.270;2.945.054.945.054.940
8.212.663.269.042.960;1.624.229.429.107.470;6.156.765.676.567.650;29.523.809.523.809.500
8.213.663.330.078.120;16.252.504.754.246.900;615.289.775.404.429;2.945.054.945.054.940
8.214.663.391.113.280;16.257.609.985.832.900;61.509.656.146.961.800;2.945.054.945.054.940
8.215.663.452.148.430;1.626.782.044.900.510;6.147.104.974.109.520;2.937.728.937.728.930
8.216.663.513.183.590;16.278.030.912.177.200;6.143.249.176.728.860;2.937.728.937.728.930
821.766.357.421.875;1.628.824.137.534.930;6.139.398.213.446.160;2.945.054.945.054.940
8.218.663.635.253.900;16.293.346.606.935.400;6.137.474.541.751.520;293.040.293.040.293
8.219.663.696.289.060;16.298.451.838.521.500;6.135.552.075.176.190;2.937.728.937.728.930
8.220.663.757.324.210;16.308.662.301.693.600;6.131.710.752.856.470;293.040.293.040.293
8.221.663.818.359.370;1.631.376.753.327.970;6.129.791.894.852.130;2.945.054.945.054.940
8.222.663.879.394.530;16.308.662.301.693.600;6.131.710.752.856.470;2.937.728.937.728.930
8.223.663.940.429.680;16.323.977.996.451.800;6.125.957.779.515.240;2.937.728.937.728.930
8.224.664.001.464.840;16.323.977.996.451.800;6.125.957.779.515.240;2.937.728.937.728.930
82.256.640.625;16.329.083.228.037.900;6.124.042.519.931.210;2.937.728.937.728.930
8.226.664.123.535.150;16.334.188.459.624.000;61.221.284.575.714.900;293.040.293.040.293
8.227.664.184.570.310;1.633.929.369.121.000;6.120.215.591.313.850;293.040.293.040.293
8.228.664.245.605.460;16.344.398.922.796.100;6.118.303.920.037.480;293.040.293.040.293
8.229.664.306.640.620;16.344.398.922.796.100;6.118.303.920.037.480;2.937.728.937.728.930
8.230.664.367.675.780;16.344.398.922.796.100;6.118.303.920.037.480;293.040.293.040.293
8.231.664.428.710.930;16.349.504.154.382.200;611.639.344.262.295;2.937.728.937.728.930
8.232.664.489.746.090;16.349.504.154.382.200;611.639.344.262.295;293.040.293.040.293
823.366.455.078.125;16.349.504.154.382.200;611.639.344.262.295;293.040.293.040.293
8.234.664.611.816.400;16.344.398.922.796.100;6.118.303.920.037.480;2.879.120.879.120.870
8.235.664.672.851.560;16.344.398.922.796.100;6.118.303.920.037.480;293.040.293.040.293
8.236.664.733.886.710;16.354.609.385.968.200;6.114.484.157.952.230;293.040.293.040.293
8.237.664.794.921.870;16.349.504.154.382.200;611.639.344.262.295;293.040.293.040.293
8.238.664.855.957.030;16.349.504.154.382.200;611.639.344.262.295;29.230.769.230.769.200
8.239.664.916.992.180;16.349.504.154.382.200;611.639.344.262.295;29.157.509.157.509.100
8.240.664.978.027.340;16.354.609.385.968.200;6.114.484.157.952.230;293.040.293.040.293
82.416.650.390.625;1.635.971.461.755.430;6.112.576.064.908.720;29.230.769.230.769.200
8.242.665.100.097.650;16.354.609.385.968.200;6.114.484.157.952.230;29.230.769.230.769.200
8.243.665.161.132.810;16.354.609.385.968.200;6.114.484.157.952.230;293.040.293.040.293
8.244.665.222.167.960;16.354.609.385.968.200;6.114.484.157.952.230;29.230.769.230.769.200
8.245.665.283.203.120;16.354.609.385.968.200;6.114.484.157.952.230;293.040.293.040.293
8.246.665.344.238.280;16.354.609.385.968.200;6.114.484.157.952.230;29.157.509.157.509.100
8.247.665.405.273.430;1.635.971.461.755.430;6.112.576.064.908.720;29.230.769.230.769.200
8.248.665.466.308.590;16.364.819.849.140.400;6.110.669.162.377.160;29.157.509.157.509.100
824.966.552.734.375;16.364.819.849.140.400;6.110.669.162.377.160;29.230.769.230.769.200
8.250.665.588.378.900;16.364.819.849.140.400;6.110.669.162.377.160;29.230.769.230.769.200
8.251.665.649.414.060;16.375.030.312.312.500;61.068.589.243.959.400;29.230.769.230.769.200
8.252.665.710.449.210;1.638.013.554.389.860;61.049.555.867.227.600;29.157.509.157.509.100
8.253.665.771.484.370;16.390.346.007.070.700;6.101.152.468.462.850;29.157.509.157.509.100
8.254.665.832.519.530;16.400.556.470.242.800;6.097.354.085.603.110;29.157.509.157.509.100
8.255.665.893.554.680;1.640.566.170.182.890;60.954.566.671.853.100;2.908.424.908.424.900
8.256.665.954.589.840;1.642.097.739.658.710;6.089.771.490.750.810;29.157.509.157.509.100
8.257.666.015.625;16.436.293.091.345.300;60.840.969.094.579.900;29.157.509.157.509.100
8.258.666.076.660.150;1.644.650.355.451.740;6.080.319.726.835.320;29.523.809.523.809.500
8.259.666.137.695.310;16.466.924.480.861.700;6.072.779.414.044.330;293.040.293.040.293
8.260.666.198.730.460;164.771.349.440.339;6.069.016.266.460.100;29.157.509.157.509.100
8.261.666.259.765.620;164.924.506.387.921;6.063.380.281.690.140;2.945.054.945.054.940
8.262.666.320.800.780;16.507.766.333.550.300;6.057.754.754.909.540;29.157.509.157.509.100
8.263.666.381.835.930;16.523.082.028.308.500;6.052.139.657.036.920;29.157.509.157.509.100
8.264.666.442.871.090;16.533.292.491.480.600;60.484.020.379.805.400;2.908.424.908.424.900
826.566.650.390.625;1.654.860.818.623.880;6.042.804.257.288.290;29.230.769.230.769.200
8.266.666.564.941.400;16.563.923.880.997.000;60.372.168.284.789.600;29.157.509.157.509.100
8.267.666.625.976.560;1.656.902.911.258.310;6.035.356.647.665.990;293.040.293.040.293
8.268.666.687.011.710;16.579.239.575.755.200;6.031.639.722.863.740;29.157.509.157.509.100
8.269.666.748.046.870;16.584.344.807.341.300;6.029.782.976.758.500;29.157.509.157.509.100
8.270.666.809.082.030;1.659.966.050.209.950;602.421.959.095.802;29.157.509.157.509.100
8.271.666.870.117.180;1.660.987.096.527.160;6.020.516.366.989.390;29.157.509.157.509.100
8.272.666.931.152.340;16.614.976.196.857.700;60.186.664.618.220.900;29.157.509.157.509.100
82.736.669.921.875;166.200.814.284.438;6.016.817.693.134.690;2.908.424.908.424.900
8.274.667.053.222.650;16.630.291.891.615.900;6.013.123.561.013.040;29.157.509.157.509.100
8.275.667.114.257.810;16.630.291.891.615.900;6.013.123.561.013.040;2.908.424.908.424.900
8.276.667.175.292.960;16.630.291.891.615.900;6.013.123.561.013.040;2.908.424.908.424.900
8.277.667.236.328.120;16.635.397.123.202;6.011.278.195.488.720;2.908.424.908.424.900
8.278.667.297.363.280;1.664.050.235.478.800;6.009.433.962.264.150;2.908.424.908.424.900
8.279.667.358.398.430;1.664.050.235.478.800;6.009.433.962.264.150;2.901.098.901.098.900
8.280.667.419.433.590;16.645.607.586.374.100;60.075.908.602.975.000;2.901.098.901.098.900
828.166.748.046.875;1.664.050.235.478.800;6.009.433.962.264.150;29.157.509.157.509.100
8.282.667.541.503.900;1.664.050.235.478.800;6.009.433.962.264.150;2.901.098.901.098.900
8.283.667.602.539.060;1.664.050.235.478.800;6.009.433.962.264.150;2.908.424.908.424.900
8.284.667.663.574.210;1.664.050.235.478.800;6.009.433.962.264.150;2.908.424.908.424.900
8.285.667.724.609.370;16.635.397.123.202;6.011.278.195.488.720;2.908.424.908.424.900
8.286.667.785.644.530;16.635.397.123.202;6.011.278.195.488.720;2.908.424.908.424.900
8.287.667.846.679.680;16.630.291.891.615.900;6.013.123.561.013.040;2.901.098.901.098.900
8.288.667.907.714.840;16.635.397.123.202;6.011.278.195.488.720;2.901.098.901.098.900
828.966.796.875;16.630.291.891.615.900;6.013.123.561.013.040;2.908.424.908.424.900
8.290.668.029.785.150;16.630.291.891.615.900;6.013.123.561.013.040;2.857.142.857.142.850
8.291.668.090.820.310;16.630.291.891.615.900;6.013.123.561.013.040;2.901.098.901.098.900
8.292.668.151.855.460;16.630.291.891.615.900;6.013.123.561.013.040;2.901.098.901.098.900
8.293.668.212.890.620;16.630.291.891.615.900;6.013.123.561.013.040;28.937.728.937.728.900
8.294.668.273.925.780;16.630.291.891.615.900;6.013.123.561.013.040;29.157.509.157.509.100
8.295.668.334.960.930;16.635.397.123.202;6.011.278.195.488.720;28.937.728.937.728.900
8.296.668.395.996.090;16.635.397.123.202;6.011.278.195.488.720;2.901.098.901.098.900
829.766.845.703.125;16.635.397.123.202;6.011.278.195.488.720;2.908.424.908.424.900
8.298.668.518.066.400;16.635.397.123.202;6.011.278.195.488.720;2.901.098.901.098.900
8.299.668.579.101.560;1.664.050.235.478.800;6.009.433.962.264.150;2.901.098.901.098.900
8.300.668.640.136.710;1.664.050.235.478.800;6.009.433.962.264.150;2.901.098.901.098.900
8.301.668.701.171.870;1.664.050.235.478.800;6.009.433.962.264.150;2.901.098.901.098.900
8.302.668.762.207.030;1.664.050.235.478.800;6.009.433.962.264.150;2.901.098.901.098.900
8.303.668.823.242.180;1.664.050.235.478.800;6.009.433.962.264.150;2.901.098.901.098.900
8.304.668.884.277.340;1.664.050.235.478.800;6.009.433.962.264.150;28.937.728.937.728.900
83.056.689.453.125;1.664.050.235.478.800;6.009.433.962.264.150;2.901.098.901.098.900
8.306.669.006.347.650;16.635.397.123.202;6.011.278.195.488.720;28.937.728.937.728.900
8.307.669.067.382.810;16.635.397.123.202;6.011.278.195.488.720;28.937.728.937.728.900
8.308.669.128.417.960;16.630.291.891.615.900;6.013.123.561.013.040;28.937.728.937.728.900
8.309.669.189.453.120;16.625.186.660.029.800;601.497.005.988.024;2.901.098.901.098.900
8.310.669.250.488.280;166.200.814.284.438;6.016.817.693.134.690;28.864.468.864.468.800
8.311.669.311.523.430;166.200.814.284.438;6.016.817.693.134.690;2.901.098.901.098.900
8.312.669.372.558.590;166.200.814.284.438;6.016.817.693.134.690;28.937.728.937.728.900
831.366.943.359.375;16.614.976.196.857.700;60.186.664.618.220.900;2.901.098.901.098.900
8.314.669.494.628.900;1.660.987.096.527.160;6.020.516.366.989.390;2.901.098.901.098.900
8.315.669.555.664.060;1.660.987.096.527.160;6.020.516.366.989.390;2.901.098.901.098.900
8.316.669.616.699.210;1.659.966.050.209.950;602.421.959.095.802;2.901.098.901.098.900
8.317.669.677.734.370;1.659.455.527.051.340;6.026.072.911.859.710;2.901.098.901.098.900
8.318.669.738.769.530;16.589.450.038.927.300;60.279.273.734.420.600;2.901.098.901.098.900
8.319.669.799.804.680;16.589.450.038.927.300;60.279.273.734.420.600;2.901.098.901.098.900
8.320.669.860.839.840;16.584.344.807.341.300;6.029.782.976.758.500;28.937.728.937.728.900
8.321.669.921.875;16.579.239.575.755.200;6.031.639.722.863.740;28.937.728.937.728.900
8.322.669.982.910.150;1.656.902.911.258.310;6.035.356.647.665.990;28.937.728.937.728.900
8.323.670.043.945.310;16.574.134.344.169.100;60.334.976.128.137.900;2.901.098.901.098.900
8.324.670.104.980.460;16.563.923.880.997.000;60.372.168.284.789.600;28.937.728.937.728.900
8.325.670.166.015.620;16.563.923.880.997.000;60.372.168.284.789.600;28.937.728.937.728.900
8.326.670.227.050.780;16.558.818.649.410.900;60.390.781.563.126.200;28.937.728.937.728.900
8.327.670.288.085.930;16.543.502.954.652.700;6.044.669.032.556.700;2.901.098.901.098.900
8.328.670.349.121.090;1.654.860.818.623.880;6.042.804.257.288.290;2.901.098.901.098.900
832.967.041.015.625;1.654.860.818.623.880;6.042.804.257.288.290;2.901.098.901.098.900
8.330.670.471.191.400;16.543.502.954.652.700;6.044.669.032.556.700;28.937.728.937.728.900
8.331.670.532.226.560;16.543.502.954.652.700;6.044.669.032.556.700;2.901.098.901.098.900
8.332.670.593.261.710;16.533.292.491.480.600;60.484.020.379.805.400;2.901.098.901.098.900
8.333.670.654.296.870;16.538.397.723.066.700;60.465.349.590.986.200;2.901.098.901.098.900
8.334.670.715.332.030;1.652.818.725.989.450;605.027.027.027.027;2.901.098.901.098.900
8.335.670.776.367.180;1.652.818.725.989.450;605.027.027.027.027;28.937.728.937.728.900
8.336.670.837.402.340;16.523.082.028.308.500;6.052.139.657.036.920;28.864.468.864.468.800
83.376.708.984.375;16.523.082.028.308.500;6.052.139.657.036.920;2.901.098.901.098.900
8.338.670.959.472.650;16.523.082.028.308.500;6.052.139.657.036.920;28.937.728.937.728.900
8.339.671.020.507.810;16.523.082.028.308.500;6.052.139.657.036.920;2.864.468.864.468.860
8.340.671.081.542.960;1.651.797.679.672.240;605.401.019.935.095;2.901.098.901.098.900
8.341.671.142.578.120;16.512.871.565.136.300;60.558.818.982.841.200;28.937.728.937.728.900
8.342.671.203.613.280;16.512.871.565.136.300;60.558.818.982.841.200;2.901.098.901.098.900
8.343.671.264.648.430;16.507.766.333.550.300;6.057.754.754.909.540;2.901.098.901.098.900
8.344.671.325.683.590;16.507.766.333.550.300;6.057.754.754.909.540;28.937.728.937.728.900
834.567.138.671.875;16.502.661.101.964.200;6.059.628.770.301.620;2.901.098.901.098.900
8.346.671.447.753.900;16.512.871.565.136.300;60.558.818.982.841.200;2.901.098.901.098.900
8.347.671.508.789.060;16.497.555.870.378.100;60.615.039.455.361.200;2.901.098.901.098.900
8.348.671.569.824.210;16.497.555.870.378.100;60.615.039.455.361.200;2.908.424.908.424.900
8.349.671.630.859.370;164.924.506.387.921;6.063.380.281.690.140;2.901.098.901.098.900
8.350.671.691.894.530;16.487.345.407.206.000;6.065.257.779.842.080;28.937.728.937.728.900
8.351.671.752.929.680;16.487.345.407.206.000;6.065.257.779.842.080;2.901.098.901.098.900
8.352.671.813.964.840;164.771.349.440.339;6.069.016.266.460.100;2.901.098.901.098.900
8.353.671.875;16.472.029.712.447.800;6.070.897.257.089.720;2.901.098.901.098.900
8.354.671.936.035.150;16.472.029.712.447.800;6.070.897.257.089.720;2.901.098.901.098.900
8.355.671.997.070.310;16.466.924.480.861.700;6.072.779.414.044.330;28.937.728.937.728.900
8.356.672.058.105.460;16.461.819.249.275.600;6.074.662.738.409.050;2.908.424.908.424.900
8.357.672.119.140.620;16.456.714.017.689.600;6.076.547.231.270.350;2.901.098.901.098.900
8.358.672.180.175.780;1.644.650.355.451.740;6.080.319.726.835.320;2.901.098.901.098.900
8.359.672.241.210.930;16.441.398.322.931.400;6.082.207.731.718.670;2.908.424.908.424.900
8.360.672.302.246.090;16.436.293.091.345.300;60.840.969.094.579.900;2.901.098.901.098.900
836.167.236.328.125;16.431.187.859.759.200;60.859.872.611.464.900;2.908.424.908.424.900
8.362.672.424.316.400;1.642.608.262.817.320;60.878.787.878.787.800;2.908.424.908.424.900
8.363.672.485.351.560;1.641.076.693.341.500;6.093.560.429.304.710;29.157.509.157.509.100
8.364.672.546.386.710;1.640.566.170.182.890;60.954.566.671.853.100;2.908.424.908.424.900
8.365.672.607.421.870;16.400.556.470.242.800;6.097.354.085.603.110;2.908.424.908.424.900
8.366.672.668.457.030;16.390.346.007.070.700;6.101.152.468.462.850;2.945.054.945.054.940
8.367.672.729.492.180;16.390.346.007.070.700;6.101.152.468.462.850;29.157.509.157.509.100
8.368.672.790.527.340;1.638.013.554.389.860;61.049.555.867.227.600;2.908.424.908.424.900
83.696.728.515.625;16.369.925.080.726.400;6.108.763.449.243.720;29.157.509.157.509.100
8.370.672.912.597.650;16.364.819.849.140.400;6.110.669.162.377.160;29.157.509.157.509.100
8.371.672.973.632.810;16.354.609.385.968.200;6.114.484.157.952.230;29.157.509.157.509.100
8.372.673.034.667.960;16.344.398.922.796.100;6.118.303.920.037.480;29.157.509.157.509.100
8.373.673.095.703.120;16.334.188.459.624.000;61.221.284.575.714.900;2.908.424.908.424.900
8.374.673.156.738.280;16.323.977.996.451.800;6.125.957.779.515.240;29.157.509.157.509.100
8.375.673.217.773.430;16.323.977.996.451.800;6.125.957.779.515.240;29.157.509.157.509.100
8.376.673.278.808.590;16.303.557.070.107.500;6.133.630.812.588.060;29.157.509.157.509.100
837.767.333.984.375;16.298.451.838.521.500;6.135.552.075.176.190;29.230.769.230.769.200
8.378.673.400.878.900;1.628.824.137.534.930;6.139.398.213.446.160;29.157.509.157.509.100
8.379.673.461.914.060;16.278.030.912.177.200;6.143.249.176.728.860;29.230.769.230.769.200
8.380.673.522.949.210;1.626.782.044.900.510;6.147.104.974.109.520;29.157.509.157.509.100
8.381.673.583.984.370;16.257.609.985.832.900;61.509.656.146.961.800;29.230.769.230.769.200
8.382.673.645.019.530;1.624.739.952.266.080;61.548.311.076.197.900;29.157.509.157.509.100
8.383.673.706.054.680;16.237.189.059.488.700;6.158.701.462.034.270;29.157.509.157.509.100
8.384.673.767.089.840;16.232.083.827.902.600;6.160.638.465.167.470;29.230.769.230.769.200
8.385.673.828.125;16.221.873.364.730.500;6.164.516.129.032.250;2.967.032.967.032.960
8.386.673.889.160.150;16.206.557.669.972.300;6.170.341.786.108.040;29.230.769.230.769.200
8.387.673.950.195.310;16.201.452.438.386.200;61.722.861.194.265;29.157.509.157.509.100
8.388.674.011.230.460;1.619.634.720.680.010;6.174.231.678.486.990;29.230.769.230.769.200
8.389.674.072.265.620;16.186.136.743.628.000;6.178.126.478.473.420;293.040.293.040.293
8.390.674.133.300.780;16.175.926.280.455.800;618.202.619.536.058;29.230.769.230.769.200
8.391.674.194.335.930;16.175.926.280.455.800;618.202.619.536.058;293.040.293.040.293
8.392.674.255.371.090;16.160.610.585.697.600;618.788.501.026.694;293.040.293.040.293
839.367.431.640.625;1.615.550.535.411.160;61.898.404.171.275.000;293.040.293.040.293
8.394.674.377.441.400;1.615.550.535.411.160;61.898.404.171.275.000;293.040.293.040.293
8.395.674.438.476.560;16.140.189.659.353.400;61.957.140.597.817.400;29.230.769.230.769.200
8.396.674.499.511.710;16.140.189.659.353.400;61.957.140.597.817.400;29.230.769.230.769.200
8.397.674.560.546.870;1.612.997.919.618.120;61.996.360.183.573.300;293.040.293.040.293
8.398.674.621.582.030;1.611.976.873.300.910;62.035.629.453.681.700;293.040.293.040.293
8.399.674.682.617.180;16.109.558.269.837.000;6.207.494.850.261.440;2.937.728.937.728.930
8.400.674.743.652.340;16.109.558.269.837.000;6.207.494.850.261.440;29.523.809.523.809.500
84.016.748.046.875;16.104.453.038.250.900;6.209.462.672.372.800;29.597.069.597.069.500
8.402.674.865.722.650;1.609.934.780.666.480;6.211.431.742.508.320;29.523.809.523.809.500
8.403.674.926.757.810;16.094.242.575.078.800;62.134.020.618.556.700;29.523.809.523.809.500
8.404.674.987.792.960;1.608.913.734.349.270;6.215.373.631.603.990;29.597.069.597.069.500
8.405.675.048.828.120;1.608.913.734.349.270;6.215.373.631.603.990;29.597.069.597.069.500
8.406.675.109.863.280;16.084.032.111.906.600;6.217.346.452.943.970;29.523.809.523.809.500
8.407.675.170.898.430;16.078.926.880.320.600;6.219.320.527.067.780;29.597.069.597.069.500
8.408.675.231.933.590;16.068.716.417.148.400;62.232.724.384.432.000;29.597.069.597.069.500
840.967.529.296.875;16.068.716.417.148.400;62.232.724.384.432.000;29.597.069.597.069.500
8.410.675.354.003.900;16.063.611.185.562.400;6.225.250.278.086.760;29.597.069.597.069.500
8.411.675.415.039.060;16.058.505.953.976.300;6.227.229.375.298.040;3.003.663.003.663.000
8.412.675.476.074.210;1.605.340.072.239.020;62.292.097.312.768.300;29.597.069.597.069.500
8.413.675.537.109.370;1.605.340.072.239.020;62.292.097.312.768.300;29.597.069.597.069.500
8.414.675.598.144.530;160.482.954.908.042;6.231.191.347.224.430;29.597.069.597.069.500
8.415.675.659.179.680;16.043.190.259.218.100;6.233.174.224.343.670;29.597.069.597.069.500
8.416.675.720.214.840;16.043.190.259.218.100;6.233.174.224.343.670;29.597.069.597.069.500
841.767.578.125;16.038.085.027.632.000;6.235.158.363.838.930;29.597.069.597.069.500
8.418.675.842.285.150;16.032.979.796.045.900;6.237.143.766.916.090;2.967.032.967.032.960
8.419.675.903.320.310;16.032.979.796.045.900;6.237.143.766.916.090;29.597.069.597.069.500
8.420.675.964.355.460;1.602.787.456.445.990;6.239.130.434.782.600;2.967.032.967.032.960
8.421.676.025.390.620;1.602.276.933.287.380;6.241.118.368.647.440;2.967.032.967.032.960
8.422.676.086.425.780;16.017.664.101.287.700;6.243.107.569.721.110;2.967.032.967.032.960
8.423.676.147.460.930;16.017.664.101.287.700;6.243.107.569.721.110;29.597.069.597.069.500
8.424.676.208.496.090;16.012.558.869.701.700;62.450.980.392.156.800;2.967.032.967.032.960
842.567.626.953.125;1.600.745.363.811.560;6.247.089.778.344.760;2.967.032.967.032.960
8.426.676.330.566.400;16.002.348.406.529.500;6.249.082.788.323.490;2.967.032.967.032.960
8.427.676.391.601.560;15.997.243.174.943.500;6.251.077.070.368.590;2.967.032.967.032.960
8.428.676.452.636.710;15.992.137.943.357.400;6.253.072.625.698.320;2.967.032.967.032.960
8.429.676.513.671.870;15.987.032.711.771.300;6.255.069.455.532.490;2.967.032.967.032.960
8.430.676.574.707.030;15.981.927.480.185.300;6.257.067.561.092.470;2.974.358.974.358.970
8.431.676.635.742.180;1.597.682.224.859.920;6.259.066.943.601.210;2.967.032.967.032.960
8.432.676.696.777.340;15.971.717.017.013.100;6.261.067.604.283.200;29.816.849.816.849.800
84.336.767.578.125;15.971.717.017.013.100;6.261.067.604.283.200;29.816.849.816.849.800
8.434.676.818.847.650;1.596.150.655.384.100;6.265.072.765.072.760;2.974.358.974.358.970
8.435.676.879.882.810;15.951.296.090.668.900;62.690.830.532.885.200;29.816.849.816.849.800
8.436.676.940.917.960;15.951.296.090.668.900;62.690.830.532.885.200;2.974.358.974.358.970
8.437.677.001.953.120;15.951.296.090.668.900;62.690.830.532.885.200;29.816.849.816.849.800
8.438.677.062.988.280;15.941.085.627.496.700;62.730.984.787.830.200;29.816.849.816.849.800
8.439.677.124.023.430;1.593.598.039.591.070;6.275.108.121.095.620;29.816.849.816.849.800
8.440.677.185.058.590;1.593.598.039.591.070;6.275.108.121.095.620;2.974.358.974.358.970
844.167.724.609.375;15.925.769.932.738.500;62.791.312.710.370.200;29.816.849.816.849.800
8.442.677.307.128.900;15.925.769.932.738.500;62.791.312.710.370.200;2.974.358.974.358.970
